nopeclothing.id,belum pernah nyobain paid promote sama selebgram 😂
yusteza,belum pernah punya smart tv sama ajak makan seafood keluarga
udinarmain_3,belum pernah kesampaian punya drum elektrik buat belajar drum :)
ulfi_mamlux,"belum pernah ngerasain perawatan di  salon, bayangin sepertinya happy bener bisa me time maksimal sambil merem d bersihin mukanya sampai hampir ketiduran mungkin, tau tau pas buka mata, jreeeng kinclong dech wajah😁😁😁😄😄😄"
mrlyrizal_,belum pernah main ps 5 :)
farizasm_,"bismillah belum pernah punya ban motor baru dan pengen ganti ban motor yg udah harus diganti tapi fakor biaya tidak mendukung akhirnya harus sabar selama 4bulan naik motor dengan ban bocor sama bayar cicilan tv sisa 3 bulan lagi tp blm rezeki soalnya tv nya udh rusak duluan dan ciciln tetap berjalan
@ecamaresha"
vbbluen9rey,"berharap aku ga telat join karena baru ngefollow kemarin, oke karena besok aku ulang tahun. semoga aku dapet ikoy2an ini biar bisa makan bareng sama keluarga, aamiin"
mpus.ty,"pengen bagi bagi makan gratis dan membantu warga sekitar yang kena dampak pandemi ini, bismillah jumaat berkah"
itsme.araa1010,"lho heh, ada ikoy2, ya allah telat 2 hari😂😂 udh ditutup ya,, komen boleh dong,,"
razitafilzahh,"bismillah kk @ecamaresha butuh hp baru biar gk barengan lg sm adx,, memori penuh trs..."
afzidillah,"pngin beli hp lagi kk @ecamaresha biar gk barengan trs sm adx susah soalnya ,, mau beli blm ada rezeki :)"
hijab_kekinian123,aku belum pernah ngerasain bisnis online sendiri kk 😢😢 pengen banget punya usaha online sendiri 😭
nuriwida,"liat story teh @ecamaresha katanya ikoy2an blm selese, bismillah semoga masih rejeki, pengen punya seperangkat alat baking, karna aku pecinta kue kering, pastry, roti & cake, siapa tau juga jadi jalan rejeki buat aku, bisa open po buat sesama pecinta rerotian ❤️"
